Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
62,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.132,,99.53,57.22,1.00,,0.78,,,,,
63,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.264,,79.11,77.82,2.00,,1.16,,,,,
64,75.00,2.00,4.00,2.00,3.00,3.00,16.00,0.529,,140.69,80.93,2.00,,2.09,,,,,
65,75.00,2.00,4.00,2.00,3.00,3.00,16.00,1.058,,239.41,85.40,2.00,,3.04,,,,,
66,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.066,,34.51,61.04,1.00,,1.43,,,,,
67,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.132,,121.81,50.51,1.00,,1.62,,,,,
68,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.264,,75.27,74.72,2.00,,1.05,,,,,
69,75.00,2.00,4.00,2.00,3.00,3.00,19.00,0.529,,128.37,78.79,2.00,,5.82,,,,,
70,75.00,2.00,4.00,2.00,3.00,3.00,19.00,1.058,,246.65,79.85,2.00,,2.88,,,,,
71,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.066,,35.71,57.47,1.00,,1.43,,,,,
72,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.132,,130.22,47.04,1.00,,1.56,,,,,
73,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.264,,78.38,70.20,2.00,,1.79,,,,,
74,75.00,2.00,4.00,2.00,3.00,3.00,22.00,0.529,,150.30,71.19,2.00,,6.30,,,,,
75,75.00,2.00,4.00,2.00,3.00,3.00,22.00,1.058,,255.86,75.12,2.00,,2.48,,,,,
76,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.066,,29.61,84.90,1.00,,1.32,,,,,
77,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.132,,135.36,64.46,1.00,,1.58,,,,,
78,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.264,,63.27,104.64,2.00,,2.77,,,,,
79,75.00,2.50,5.00,2.50,3.50,3.50,10.00,0.529,,115.02,108.02,2.00,,0.88,,,,,
80,75.00,2.50,5.00,2.50,3.50,3.50,10.00,1.058,,237.21,106.92,2.00,,0.70,,,,,
81,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.066,,36.13,72.80,1.00,,1.06,,,,,
82,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.132,,126.52,60.40,1.00,,1.28,,,,,
83,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.264,,56.64,99.48,2.00,,2.61,,,,,
84,75.00,2.50,5.00,2.50,3.50,3.50,13.00,0.529,,110.74,100.24,2.00,,0.56,,,,,
85,75.00,2.50,5.00,2.50,3.50,3.50,13.00,1.058,,234.32,98.37,2.00,,1.43,,,,,
86,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.066,,31.53,71.09,1.00,,1.97,,,,,
87,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.132,,124.15,56.72,1.00,,1.45,,,,,
88,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.264,,60.73,90.70,2.00,,1.98,,,,,
89,75.00,2.50,5.00,2.50,3.50,3.50,16.00,0.529,,126.68,89.43,2.00,,1.42,,,,,
90,75.00,2.50,5.00,2.50,3.50,3.50,16.00,1.058,,213.52,94.68,2.00,,0.68,,,,,
91,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.066,,33.99,65.47,1.00,,2.77,,,,,
92,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.132,,180.84,47.25,1.00,,2.39,,,,,
93,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.264,,62.37,84.89,2.00,,2.51,,,,,
94,75.00,2.50,5.00,2.50,3.50,3.50,19.00,0.529,,117.41,86.62,2.00,,1.17,,,,,
95,75.00,2.50,5.00,2.50,3.50,3.50,19.00,1.058,,216.73,88.97,2.00,,1.25,,,,,
96,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.066,,30.41,64.71,1.00,,2.14,,,,,
97,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.132,,46.88,70.57,2.00,,9.50,,,,,
98,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.264,,67.59,78.71,2.00,,2.16,,,,,
99,75.00,2.50,5.00,2.50,3.50,3.50,22.00,0.529,,112.77,83.61,2.00,,1.84,,,,,
100,75.00,2.50,5.00,2.50,3.50,3.50,22.00,1.058,,211.01,85.48,2.00,,1.88,,,,,
101,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.066,,33.74,85.79,1.00,,1.58,,,,,
102,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.132,,143.24,66.75,1.00,,2.32,,,,,
103,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.264,,43.42,125.20,2.00,,3.10,,,,,
104,75.00,3.00,6.00,3.00,4.00,4.00,10.00,0.529,,81.70,127.77,2.00,,0.89,,,,,
105,75.00,3.00,6.00,3.00,4.00,4.00,10.00,1.058,,155.03,130.03,2.00,,6.01,,,,,
106,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.066,,41.95,73.10,1.00,,2.05,,,,,
107,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.132,,164.76,58.38,1.00,,2.23,,,,,
108,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.264,,50.10,109.37,2.00,,4.48,,,,,
109,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.529,,102.89,108.41,2.00,,1.45,,,,,
110,75.00,3.00,6.00,3.00,4.00,4.00,13.00,1.058,,164.55,116.80,2.00,,7.64,,,,,
111,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.066,,24.50,81.61,1.00,,1.65,,,,,
112,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.132,,133.69,58.40,1.00,,2.63,,,,,
113,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.264,,56.19,98.23,2.00,,3.62,,,,,
114,75.00,3.00,6.00,3.00,4.00,4.00,16.00,0.529,,96.71,103.27,2.00,,2.84,,,,,
115,75.00,3.00,6.00,3.00,4.00,4.00,16.00,1.058,,175.64,106.65,2.00,,1.13,,,,,
116,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.066,,32.30,70.28,1.00,,1.96,,,,,
117,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.132,,160.75,51.86,1.00,,3.91,,,,,
118,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.264,,53.44,94.33,2.00,,7.06,,,,,
119,75.00,3.00,6.00,3.00,4.00,4.00,19.00,0.529,,85.85,101.47,2.00,,1.61,,,,,
120,75.00,3.00,6.00,3.00,4.00,4.00,19.00,1.058,,169.81,101.85,2.00,,1.89,,,,,
121,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.066,,28.94,69.43,1.00,,1.34,,,,,
122,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.132,,153.23,50.19,1.00,,4.52,,,,,
123,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.264,,49.22,92.32,2.00,,3.20,,,,,
124,75.00,3.00,6.00,3.00,4.00,4.00,22.00,0.529,,95.37,93.31,2.00,,2.32,,,,,
125,75.00,3.00,6.00,3.00,4.00,4.00,22.00,1.058,,182.46,94.70,2.00,,0.98,,,,,
126,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.066,,43.49,69.23,1.00,,1.32,,,,,
127,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.132,,156.78,56.88,1.00,,1.09,,,,,
128,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.264,,300.60,57.69,1.00,,1.19,,,,,
129,100.00,1.00,3.00,2.00,3.50,4.00,10.00,0.529,,133.87,95.18,2.00,,5.05,,,,,
130,100.00,1.00,3.00,2.00,3.50,4.00,10.00,1.058,,291.95,92.47,2.00,,11.98,,,,,
131,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.066,,42.31,64.01,1.00,,1.58,,,,,
132,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.132,,154.16,52.41,1.00,,1.29,,,,,
133,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.264,,374.50,49.12,1.00,,1.31,,,,,
134,100.00,1.00,3.00,2.00,3.50,4.00,13.00,0.529,,127.86,88.55,2.00,,1.07,,,,,
135,100.00,1.00,3.00,2.00,3.50,4.00,13.00,1.058,,338.46,80.65,2.00,,5.70,,,,,
136,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.066,,44.62,58.68,1.00,,1.49,,,,,
137,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.132,,175.08,46.88,1.00,,1.43,,,,,
138,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.264,,323.51,48.13,1.00,,1.22,,,,,
139,100.00,1.00,3.00,2.00,3.50,4.00,16.00,0.529,,153.85,77.69,2.00,,1.19,,,,,
140,100.00,1.00,3.00,2.00,3.50,4.00,16.00,1.058,,373.24,72.85,2.00,,9.19,,,,,
141,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.066,,50.95,53.02,1.00,,1.24,,,,,
142,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.132,,215.20,41.33,1.00,,1.53,,,,,
143,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.264,,114.77,64.21,2.00,,1.12,,,,,
144,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.529,,162.85,71.99,2.00,,1.16,,,,,
145,100.00,1.00,3.00,2.00,3.50,4.00,19.00,1.058,,429.53,65.64,2.00,,3.95,,,,,
146,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.066,,52.89,49.87,1.00,,1.28,,,,,
147,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.132,,260.07,36.95,1.00,,0.99,,,,,
148,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.264,,121.98,59.91,2.00,,1.33,,,,,
149,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.529,,154.99,69.69,2.00,,0.97,,,,,
150,100.00,1.00,3.00,2.00,3.50,4.00,22.00,1.058,,465.19,60.87,2.00,,3.74,,,,,
151,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.066,,6.47,119.52,1.00,,1.03,,,,,
152,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.132,,42.37,80.49,1.00,,1.84,,,,,
