Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
139,150.00,3.00,4.00,1.00,3.50,2.50,22.00,0.132,20.98,142.36,2.00,,,,,,,,,,
140,175.00,1.00,6.00,2.50,3.00,2.50,22.00,0.529,44.97,141.78,2.00,,,,,,,,,,
141,125.00,2.00,6.00,1.50,3.50,2.00,13.00,1.058,113.61,141.77,2.00,,,,,,,,,,
142,175.00,1.50,2.00,3.00,3.50,3.00,10.00,0.529,146.78,141.69,2.00,,,,,,,,,,
143,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.264,49.22,141.14,2.00,,,,,,,,,,
144,150.00,2.50,3.00,3.00,3.00,2.00,19.00,0.529,83.84,140.51,2.00,,,,,,,,,,
145,175.00,2.00,3.00,1.00,4.00,3.50,19.00,0.264,52.63,140.32,2.00,,,,,,,,,,
146,150.00,2.50,3.00,3.00,3.00,2.00,19.00,1.058,169.23,140.08,2.00,,,,,,,,,,
147,150.00,2.50,3.00,3.00,3.00,2.00,16.00,0.264,50.37,139.96,2.00,,,,,,,,,,
148,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.264,30.93,139.36,2.00,,,,,,,,,,
149,100.00,2.50,6.00,1.00,2.50,3.00,16.00,1.058,147.55,139.17,2.00,,,,,,,,,,
150,125.00,1.50,5.00,1.00,3.00,4.00,10.00,1.058,235.37,138.94,2.00,,,,,,,,,,
151,175.00,1.00,6.00,2.50,3.00,2.50,22.00,1.058,96.71,138.39,2.00,,,,,,,,,,
152,125.00,2.00,6.00,1.50,3.50,2.00,16.00,1.058,99.33,138.35,2.00,,,,,,,,,,
153,100.00,2.00,5.00,3.00,2.00,2.50,10.00,1.058,209.70,138.10,2.00,,,,,,,,,,
154,125.00,3.00,3.00,2.50,2.00,3.00,13.00,1.058,438.89,137.75,2.00,,,,,,,,,,
155,150.00,2.50,3.00,3.00,3.00,2.00,22.00,0.529,77.44,137.39,2.00,,,,,,,,,,
156,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.529,37.26,136.92,2.00,,,,,,,,,,
157,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.132,30.91,136.67,2.00,,,,,,,,,,
158,150.00,2.50,3.00,3.00,3.00,2.00,22.00,1.058,158.74,136.27,2.00,,,,,,,,,,
159,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.264,26.22,135.85,2.00,,,,,,,,,,
160,150.00,1.50,6.00,2.00,2.00,3.50,22.00,0.132,27.85,135.44,2.00,,,,,,,,,,
161,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.529,190.60,134.72,2.00,,,,,,,,,,
162,175.00,2.00,3.00,1.00,4.00,3.50,22.00,0.529,103.49,134.38,2.00,,,,,,,,,,
163,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.264,65.61,133.98,2.00,,,,,,,,,,
164,175.00,1.50,2.00,3.00,3.50,3.00,13.00,0.529,136.15,133.12,2.00,,,,,,,,,,
165,175.00,1.00,6.00,2.50,3.00,2.50,22.00,0.264,27.29,132.92,2.00,,,,,,,,,,
166,125.00,2.50,2.00,2.00,4.00,2.50,10.00,1.058,233.71,132.15,2.00,,,,,,,,,,
167,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.132,62.16,132.13,2.00,,,,,,,,,,
168,175.00,1.50,2.00,3.00,3.50,3.00,10.00,1.058,365.91,131.66,2.00,,,,,,,,,,
169,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.529,121.79,131.38,2.00,,,,,,,,,,
170,150.00,1.00,5.00,1.50,4.00,3.00,13.00,1.058,122.05,131.15,2.00,,,,,,,,,,
171,175.00,2.00,3.00,1.00,4.00,3.50,22.00,0.132,28.31,130.41,2.00,,,,,,,,,,
172,75.00,3.00,6.00,3.00,4.00,4.00,10.00,1.058,155.03,130.03,2.00,,,,,,,,,,
173,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.264,25.27,129.88,2.00,,,,,,,,,,
174,125.00,3.00,3.00,2.50,2.00,3.00,16.00,1.058,426.01,129.82,2.00,,,,,,,,,,
