Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
141,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.066096,50.95,53.02,1,,,,,,,,
142,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.132192,215.20,41.33,1,,,,,,,,
143,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.264384,114.77,64.21,2,,,,,,,,
144,100.00,1.00,3.00,2.00,3.50,4.00,19.00,0.528768,162.85,71.99,2,,,,,,,,
145,100.00,1.00,3.00,2.00,3.50,4.00,19.00,1.057536,429.53,65.64,2,,,,,,,,
146,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.066096,52.89,49.87,1,,,,,,,,
147,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.132192,260.07,36.95,1,,,,,,,,
148,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.264384,121.98,59.91,2,,,,,,,,
149,100.00,1.00,3.00,2.00,3.50,4.00,22.00,0.528768,154.99,69.69,2,,,,,,,,
150,100.00,1.00,3.00,2.00,3.50,4.00,22.00,1.057536,465.19,60.87,2,,,,,,,,
151,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.066096,6.47,119.52,1,,,,,,,,
152,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.132192,42.37,80.49,1,,,,,,,,
153,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.264384,133.80,69.12,1,,,,,,,,
154,100.00,1.50,4.00,2.50,4.00,2.00,10.00,0.528768,75.79,105.25,2,,,,,,,,
155,100.00,1.50,4.00,2.50,4.00,2.00,10.00,1.057536,122.74,112.93,2,,,,,,,,
156,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.066096,9.64,95.88,1,,,,,,,,
157,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.132192,46.82,71.33,1,,,,,,,,
158,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.264384,157.05,60.04,1,,,,,,,,
159,100.00,1.50,4.00,2.50,4.00,2.00,13.00,0.528768,75.79,96.44,2,,,,,,,,
160,100.00,1.50,4.00,2.50,4.00,2.00,13.00,1.057536,119.96,104.26,2,,,,,,,,
161,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.066096,8.78,92.31,1,,,,,,,,
162,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.132192,50.27,65.01,1,,,,,,,,
163,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.264384,209.12,50.92,1,,,,,,,,
164,100.00,1.50,4.00,2.50,4.00,2.00,16.00,0.528768,75.07,90.28,2,,,,,,,,
165,100.00,1.50,4.00,2.50,4.00,2.00,16.00,1.057536,135.72,93.37,2,,,,,,,,
166,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.066096,8.23,89.05,1,,,,,,,,
167,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.132192,59.10,58.16,1,,,,,,,,
168,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.264384,218.60,47.38,1,,,,,,,,
169,100.00,1.50,4.00,2.50,4.00,2.00,19.00,0.528768,77.76,84.26,2,,,,,,,,
170,100.00,1.50,4.00,2.50,4.00,2.00,19.00,1.057536,145.78,86.09,2,,,,,,,,
171,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.066096,9.46,80.97,1,,,,,,,,
172,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.132192,49.40,58.80,1,,,,,,,,
173,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.264384,62.08,68.65,2,,,,,,,,
174,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.528768,89.50,76.56,2,,,,,,,,
175,100.00,1.50,4.00,2.50,4.00,2.00,22.00,1.057536,147.89,81.60,2,,,,,,,,
176,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.066096,86.81,73.54,1,,,,,,,,
177,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.132192,193.55,70.92,1,,,,,,,,
178,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.264384,73.94,123.15,2,,,,,,,,
179,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.528768,121.79,131.38,2,,,,,,,,
180,100.00,2.00,5.00,3.00,2.00,2.50,10.00,1.057536,209.70,138.10,2,,,,,,,,
181,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.066096,72.53,71.54,1,,,,,,,,
182,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.132192,260.40,58.86,1,,,,,,,,
183,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.264384,64.60,118.03,2,,,,,,,,
184,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.528768,122.81,120.04,2,,,,,,,,
185,100.00,2.00,5.00,3.00,2.00,2.50,13.00,1.057536,210.12,126.45,2,,,,,,,,
186,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.066096,78.38,65.05,1,,,,,,,,
