Experimental outputs:13.4297520661,51.9507415467
Desired outputs:5.0,25.0
orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size,cost_function
87.55848254266917,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.591914916937796,0.003838610206882531,1,14.234449,45.45712,0.5254935012333765
87.55848254266917,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.64552558733985,0.003838610206882531,1,14.2670145,45.34979,0.5232547309772703
87.55848254266917,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.64552558733985,0.003838610206882531,1,14.250821,45.307713,0.522000162774373
87.55848254266917,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.699136257741905,0.003838610206882531,1,14.283392,45.200375,0.5208007266924353
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.699136257741905,0.003838610206882531,1,14.222019,45.091892,0.5184538877462683
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.752746928143964,0.003838610206882531,1,14.254582,44.98456,0.5157003315334331
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.806357598546015,0.003838610206882531,1,14.287145,44.877216,0.5132802576568508
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.319723,44.76988,0.5120774952493965
87.91729632960258,0.8714665213967749,1.8730927770038939,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.303517,44.727814,0.510823897937316
87.91729632960258,0.8714665213967749,1.858991974448771,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.287342,44.68574,0.5095705068307804
87.91729632960258,0.8714665213967749,1.8448911718936483,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.271145,44.643673,0.5083164098865389
88.27611011653599,0.8714665213967749,1.8448911718936483,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.209772,44.535183,0.5069595164433904
88.27611011653599,0.8643257725854847,1.8448911718936483,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.296444,44.461964,0.505014213172847
88.27611011653599,0.8643257725854847,1.8307903693385255,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.280255,44.41988,0.5037601566236448
88.27611011653599,0.8643257725854847,1.8166895667834027,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.264068,44.37782,0.5025063049402143
88.27611011653599,0.8643257725854847,1.8025887642282794,1.0,2.0,2.0,25.859968268948073,0.003838610206882531,1,14.247877,44.33575,0.5012519224342502
88.27611011653599,0.8643257725854847,1.8025887642282794,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.280444,44.228405,0.500049248356086
88.6349239034694,0.8643257725854847,1.8025887642282794,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.219069,44.169914,0.4987545777835788
88.6349239034694,0.8643257725854847,1.7884879616731566,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.202878,44.09264,0.49715426848877176
88.6349239034694,0.8571850237741945,1.7884879616731566,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.28955,44.004623,0.49551090750165006
88.6349239034694,0.8571850237741945,1.7743871591180338,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.273361,43.96255,0.4942571166515827
88.6349239034694,0.8571850237741945,1.760286356562911,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.257173,43.920483,0.49300310282796755
88.6349239034694,0.8571850237741945,1.7461855540077882,1.0,2.0,2.0,25.913578939350128,0.003838610206882531,1,14.24099,43.878414,0.49174891024789924
